timestamp,sim_time_s,total_vehicles,avg_speed_ms,avg_speed_kmh,avg_wait_s,max_wait_s,throughput,departed,teleported,e1_id,e1_count,e1_spd_kmh,e1_occ,e2_id,e2_count,e2_spd_kmh,e2_occ,e3_id,e3_count,e3_spd_kmh,e3_occ,e4_id,e4_count,e4_spd_kmh,e4_occ,e5_id,e5_count,e5_spd_kmh,e5_occ,e6_id,e6_count,e6_spd_kmh,e6_occ,e7_id,e7_count,e7_spd_kmh,e7_occ,e8_id,e8_count,e8_spd_kmh,e8_occ,traffic_state,congestion_index,speed_ma5,speed_ma15,wait_ma5,vehicle_ma5,speed_change_pct,efficiency,hour_of_day,traffic_pressure,state_by_speed,state_by_wait,state_by_density,final_state,severity,is_anomaly,predicted_next_state,recommendation
2026-04-01 09:48:51,110,49,6.6,23.76,12.88,69.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Bình thường,0.358,24.072000000000003,23.920909090909092,9.094,45.2,-2.782324058919805,0.0,0,25.489,Chậm,Thông thoáng,Bình thường,Chậm,2,1,Chậm,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,120,50,5.309,19.11,16.72,79.0,0,7,0,-1149832778#0,0,100.01,0.0,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Chậm,0.426,22.794,23.52,11.419999999999998,46.2,-19.570707070707083,0.0,0,41.571,Chậm,Bình thường,Bình thường,Chậm,2,1,Chậm,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,130,43,4.791,17.25,22.67,89.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,1,46.45,0.071,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Chậm,0.469,21.174,23.037692307692307,14.422,46.0,-9.733124018838302,0.0,0,53.414,Chậm,Bình thường,Chậm,Chậm,2,1,Chậm,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,140,50,5.218,18.78,17.6,99.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,1,45.86,0.071,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Chậm,0.433,20.668,22.733571428571427,16.058,47.4,8.869565217391306,0.0,0,44.489,Chậm,Bình thường,Bình thường,Chậm,2,1,Chậm,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,150,50,3.878,13.96,22.86,109.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,1,49.22,0.071,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Chậm,0.509,18.572,22.148666666666667,18.546,48.4,-25.665601703940368,0.0,0,76.404,Chậm,Bình thường,Chậm,Chậm,2,1,Chậm,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,160,49,3.034,10.92,30.12,119.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,0,100.01,0.0,-1149832778#2,1,49.5,0.348,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Chậm,0.569,16.003999999999998,22.876666666666665,21.994,48.4,-21.776504297994272,0.0,0,123.815,Chậm,Bình thường,Chậm,Chậm,2,0,Tắc nghẽn,"Kéo dài pha xanh hướng đông-tây, cảnh báo tài xế"
2026-04-01 09:48:51,170,49,2.029,7.3,37.45,129.0,1,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.637,13.642000000000001,21.108666666666668,26.139999999999997,48.2,-33.15018315018315,0.02040816326530612,0,221.09,Tắc nghẽn,Bình thường,Chậm,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,180,50,1.733,6.24,43.86,139.0,0,2,0,-1149832778#0,0,100.01,0.0,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.671,11.440000000000001,19.518666666666665,30.377999999999997,49.6,-14.520547945205475,0.0,0,302.901,Tắc nghẽn,Chậm,Chậm,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,190,49,1.755,6.32,52.18,149.0,0,0,0,-1149832778#0,0,100.01,0.0,-1149832778#1,1,47.66,0.071,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.698,8.948,18.004,37.294,49.4,1.2820512820512775,0.0,0,349.292,Tắc nghẽn,Chậm,Chậm,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
2026-04-01 09:48:51,200,50,1.349,4.86,59.62,159.0,0,0,0,-1149832778#0,1,0.0,0.285,-1149832778#1,0,100.01,0.0,-1149832778#2,0,100.01,0.0,-1149832778#3,0,100.01,0.0,-1175493775#0,0,100.01,0.0,-1175493775#1,0,100.01,0.0,-1175493775#2,0,100.01,0.0,-1215966886,0,50.0,0.0,Tắc nghẽn,0.74,7.128,16.68466666666667,44.646,49.4,-23.10126582278481,0.0,0,508.703,Tắc nghẽn,Chậm,Tắc nghẽn,Tắc nghẽn,3,0,Tắc nghẽn,"Điều tiết khẩn cấp, ưu tiên hướng thoát, gửi cảnh báo"
