edge_id,freq,lanes,length_m,speed_kmh,capacity,peak_flow,avg_flow,vc_ratio,bpr_factor,los_grade,los_desc,travel_free,travel_actual,delay_s,risk_score
720342747#0,91,2,209.55,100.0,3600.0,540.0,346.7,0.15,1.0001,A,Thông thoáng hoàn toàn,7.54,7.54,0.0,0.1857
-606920724#0,55,1,7.31,80.0,1800.0,420.0,194.1,0.2333,1.0004,A,Thông thoáng hoàn toàn,0.33,0.33,0.0,0.183
566577331,54,1,2.55,80.0,1800.0,420.0,202.5,0.2333,1.0004,A,Thông thoáng hoàn toàn,0.11,0.11,0.0,0.1817
723594685,86,2,21.31,100.0,3600.0,540.0,307.1,0.15,1.0001,A,Thông thoáng hoàn toàn,0.77,0.77,0.0,0.1787
191937837#0,50,1,294.59,50.0,1800.0,420.0,222.4,0.2333,1.0004,A,Thông thoáng hoàn toàn,21.21,21.22,0.01,0.1784
-606920724#2,51,1,16.54,80.0,1800.0,420.0,183.5,0.2333,1.0004,A,Thông thoáng hoàn toàn,0.74,0.74,0.0,0.1782
-1419189312,35,1,92.28,50.0,1800.0,480.0,144.0,0.2667,1.0008,A,Thông thoáng hoàn toàn,6.64,6.65,0.01,0.176
-1175493775#2,47,1,11.26,100.0,1800.0,420.0,188.0,0.2333,1.0004,A,Thông thoáng hoàn toàn,0.41,0.41,0.0,0.1734
719482084#0,81,2,3.45,60.0,3600.0,540.0,285.9,0.15,1.0001,A,Thông thoáng hoàn toàn,0.21,0.21,0.0,0.1726
720360985,78,2,22.11,100.0,3600.0,540.0,275.3,0.15,1.0001,A,Thông thoáng hoàn toàn,0.8,0.8,0.0,0.1691
1175493775#1,70,2,116.42,100.0,3600.0,600.0,271.8,0.1667,1.0001,A,Thông thoáng hoàn toàn,4.19,4.19,0.0,0.1683
719462304,101,4,51.09,100.0,7200.0,660.0,343.3,0.0917,1.0,A,Thông thoáng hoàn toàn,1.84,1.84,0.0,0.1678
722556035#0,77,2,0.57,100.0,3600.0,540.0,271.8,0.15,1.0001,A,Thông thoáng hoàn toàn,0.02,0.02,0.0,0.1678
722556035#1,77,2,0.2,100.0,3600.0,540.0,271.8,0.15,1.0001,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.1678
408193287#0,56,1,54.59,100.0,1800.0,360.0,193.3,0.2,1.0002,A,Thông thoáng hoàn toàn,1.97,1.97,0.0,0.1677
719482084#1,83,2,15.28,60.0,3600.0,480.0,296.5,0.1333,1.0,A,Thông thoáng hoàn toàn,0.92,0.92,0.0,0.1667
191937819#0,77,2,116.63,100.0,3600.0,480.0,289.4,0.1333,1.0,A,Thông thoáng hoàn toàn,4.2,4.2,0.0,0.16
720342747#1,77,2,43.91,100.0,3600.0,480.0,278.8,0.1333,1.0,A,Thông thoáng hoàn toàn,1.58,1.58,0.0,0.1597
-408193287#1,49,1,96.53,100.0,1800.0,360.0,180.0,0.2,1.0002,A,Thông thoáng hoàn toàn,3.47,3.48,0.0,0.1595
1175493775#2,66,2,11.26,100.0,3600.0,540.0,232.9,0.15,1.0001,A,Thông thoáng hoàn toàn,0.41,0.41,0.0,0.1546
408193287#1,44,1,96.53,100.0,1800.0,360.0,162.4,0.2,1.0002,A,Thông thoáng hoàn toàn,3.47,3.48,0.0,0.1535
1215971651,42,1,20.41,50.0,1800.0,360.0,158.8,0.2,1.0002,A,Thông thoáng hoàn toàn,1.47,1.47,0.0,0.1507
32577544#0,40,1,19.98,50.0,1800.0,360.0,153.8,0.2,1.0002,A,Thông thoáng hoàn toàn,1.44,1.44,0.0,0.1483
722058131,37,1,447.04,60.0,1800.0,360.0,170.0,0.2,1.0002,A,Thông thoáng hoàn toàn,26.82,26.82,0.01,0.1468
-1215971651,36,1,19.52,50.0,1800.0,360.0,144.0,0.2,1.0002,A,Thông thoáng hoàn toàn,1.41,1.41,0.0,0.1435
610099998,60,2,791.31,100.0,3600.0,480.0,300.0,0.1333,1.0,A,Thông thoáng hoàn toàn,28.48,28.49,0.0,0.143
1149832778#3,60,2,12.84,100.0,3600.0,480.0,225.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.46,0.46,0.0,0.139
-606920724#3,45,1,16.67,80.0,1800.0,300.0,158.8,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.75,0.75,0.0,0.1376
-347962231#0,44,1,7.91,50.0,1800.0,300.0,150.0,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.57,0.57,0.0,0.1364
347962231#0,44,1,7.91,50.0,1800.0,300.0,146.7,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.57,0.57,0.0,0.1364
1175493775#0,56,2,365.57,100.0,3600.0,480.0,240.0,0.1333,1.0,A,Thông thoáng hoàn toàn,13.16,13.16,0.0,0.136
-32577544#0,38,1,19.97,50.0,1800.0,300.0,156.0,0.1667,1.0001,A,Thông thoáng hoàn toàn,1.44,1.44,0.0,0.1292
1269264065#1,50,2,11.26,100.0,3600.0,480.0,187.5,0.1333,1.0,A,Thông thoáng hoàn toàn,0.41,0.41,0.0,0.127
224494489#0,36,1,2.26,50.0,1800.0,300.0,166.2,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.16,0.16,0.0,0.1267
-224494489#0,34,1,2.25,50.0,1800.0,300.0,144.0,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.16,0.16,0.0,0.1243
1269264065#0,45,2,490.82,100.0,3600.0,480.0,190.6,0.1333,1.0,A,Thông thoáng hoàn toàn,17.67,17.67,0.0,0.1234
1419189312,32,1,92.28,50.0,1800.0,300.0,127.1,0.1667,1.0001,A,Thông thoáng hoàn toàn,6.64,6.64,0.0,0.1224
218227253#2,73,5,88.93,60.0,9000.0,480.0,282.4,0.0533,1.0,A,Thông thoáng hoàn toàn,5.33,5.33,0.0,0.1151
802338945,25,1,251.41,100.0,1800.0,300.0,124.3,0.1667,1.0001,A,Thông thoáng hoàn toàn,9.05,9.05,0.0,0.1147
224494489#1,33,1,33.67,50.0,1800.0,240.0,150.0,0.1333,1.0,A,Thông thoáng hoàn toàn,2.42,2.42,0.0,0.1066
-224494489#1,30,1,33.82,50.0,1800.0,240.0,132.9,0.1333,1.0,A,Thông thoáng hoàn toàn,2.43,2.43,0.0,0.103
32577544#2,30,1,15.58,50.0,1800.0,240.0,123.8,0.1333,1.0,A,Thông thoáng hoàn toàn,1.12,1.12,0.0,0.1029
606920724#1,30,1,18.26,80.0,1800.0,240.0,112.5,0.1333,1.0,A,Thông thoáng hoàn toàn,0.82,0.82,0.0,0.1029
-606920724#5,28,1,256.24,80.0,1800.0,240.0,128.0,0.1333,1.0,A,Thông thoáng hoàn toàn,11.53,11.53,0.0,0.1017
606920724#0,29,1,7.31,80.0,1800.0,240.0,116.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.33,0.33,0.0,0.1016
606920724#2,28,1,16.54,80.0,1800.0,240.0,124.3,0.1333,1.0,A,Thông thoáng hoàn toàn,0.74,0.74,0.0,0.1005
224494489#2,26,1,229.08,50.0,1800.0,240.0,132.9,0.1333,1.0,A,Thông thoáng hoàn toàn,16.49,16.49,0.0,0.0992
191937846#5,25,1,267.58,100.0,1800.0,240.0,120.0,0.1333,1.0,A,Thông thoáng hoàn toàn,9.63,9.63,0.0,0.0981
606920724#3,26,1,16.67,80.0,1800.0,240.0,111.4,0.1333,1.0,A,Thông thoáng hoàn toàn,0.75,0.75,0.0,0.0981
32582068,25,1,93.95,50.0,1800.0,240.0,104.0,0.1333,1.0,A,Thông thoáng hoàn toàn,6.76,6.76,0.0,0.0973
610137708,43,2,464.51,60.0,3600.0,300.0,197.6,0.0833,1.0,A,Thông thoáng hoàn toàn,27.87,27.87,0.0,0.0958
-32577544#2,24,1,15.58,50.0,1800.0,240.0,96.0,0.1333,1.0,A,Thông thoáng hoàn toàn,1.12,1.12,0.0,0.0957
32577544#4,24,1,10.37,50.0,1800.0,240.0,120.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.75,0.75,0.0,0.0956
330532340,43,2,44.5,100.0,3600.0,300.0,161.2,0.0833,1.0,A,Thông thoáng hoàn toàn,1.6,1.6,0.0,0.0937
-191937846#5,21,1,267.52,100.0,1800.0,240.0,110.8,0.1333,1.0,A,Thông thoáng hoàn toàn,9.63,9.63,0.0,0.0933
218227253#1,57,5,40.31,60.0,9000.0,420.0,211.8,0.0467,1.0,A,Thông thoáng hoàn toàn,2.42,2.42,0.0,0.0922
610137669,21,1,21.28,80.0,1800.0,240.0,101.5,0.1333,1.0,A,Thông thoáng hoàn toàn,0.96,0.96,0.0,0.0921
-191937837#6,21,1,1.69,50.0,1800.0,240.0,90.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.12,0.12,0.0,0.092
218227253#0,57,5,0.71,60.0,9000.0,420.0,201.2,0.0467,1.0,A,Thông thoáng hoàn toàn,0.04,0.04,0.0,0.092
32577544#5,19,1,201.33,50.0,1800.0,240.0,96.0,0.1333,1.0,A,Thông thoáng hoàn toàn,14.49,14.5,0.0,0.0906
606240976,31,2,405.15,60.0,3600.0,360.0,168.0,0.1,1.0,A,Thông thoáng hoàn toàn,24.3,24.3,0.0,0.0894
606240979,18,1,57.93,80.0,1800.0,240.0,103.6,0.1333,1.0,A,Thông thoáng hoàn toàn,2.61,2.61,0.0,0.0886
226572943,0,1,16606.67,110.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,543.41,543.41,0.0,0.0841
469364067,0,1,16608.81,110.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,543.48,543.48,0.0,0.0841
-1269264065#0,31,2,492.39,100.0,3600.0,300.0,150.0,0.0833,1.0,A,Thông thoáng hoàn toàn,17.72,17.72,0.0,0.0815
1467204558,12,1,54.67,50.0,1800.0,240.0,111.4,0.1333,1.0,A,Thông thoáng hoàn toàn,3.94,3.94,0.0,0.0814
-224494489#2,23,1,229.03,50.0,1800.0,180.0,111.4,0.1,1.0,A,Thông thoáng hoàn toàn,16.49,16.49,0.0,0.0789
1215966887,22,1,121.92,50.0,1800.0,180.0,105.0,0.1,1.0,A,Thông thoáng hoàn toàn,8.78,8.78,0.0,0.0771
211840922#0,50,5,25.71,60.0,9000.0,300.0,200.0,0.0333,1.0,A,Thông thoáng hoàn toàn,1.54,1.54,0.0,0.077
-1419189306#1,21,1,27.06,50.0,1800.0,180.0,96.9,0.1,1.0,A,Thông thoáng hoàn toàn,1.95,1.95,0.0,0.0754
-32582068,19,1,93.95,50.0,1800.0,180.0,109.1,0.1,1.0,A,Thông thoáng hoàn toàn,6.76,6.76,0.0,0.0734
-330532340,33,2,44.5,100.0,3600.0,240.0,132.0,0.0667,1.0,A,Thông thoáng hoàn toàn,1.6,1.6,0.0,0.0733
1419189306#1,19,1,27.06,50.0,1800.0,180.0,95.0,0.1,1.0,A,Thông thoáng hoàn toàn,1.95,1.95,0.0,0.073
606920724#5,18,1,256.24,80.0,1800.0,180.0,115.0,0.1,1.0,A,Thông thoáng hoàn toàn,11.53,11.53,0.0,0.073
-211835011,16,1,99.05,50.0,1800.0,180.0,95.0,0.1,1.0,A,Thông thoáng hoàn toàn,7.13,7.13,0.0,0.0698
291440669,16,1,59.32,50.0,1800.0,180.0,83.1,0.1,1.0,A,Thông thoáng hoàn toàn,4.27,4.27,0.0,0.0696
-1269264065#1,30,2,11.26,100.0,3600.0,240.0,132.9,0.0667,1.0,A,Thông thoáng hoàn toàn,0.41,0.41,0.0,0.0695
719494700,30,2,0.2,60.0,3600.0,240.0,138.5,0.0667,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0695
-802338945,15,1,251.4,100.0,1800.0,180.0,108.0,0.1,1.0,A,Thông thoáng hoàn toàn,9.05,9.05,0.0,0.0693
-1467204558,14,1,54.67,50.0,1800.0,180.0,105.0,0.1,1.0,A,Thông thoáng hoàn toàn,3.94,3.94,0.0,0.0671
720360984,26,2,296.93,60.0,3600.0,240.0,136.0,0.0667,1.0,A,Thông thoáng hoàn toàn,17.81,17.81,0.0,0.0662
1484447761#0,0,1,12924.19,350.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,132.94,132.94,0.0,0.0655
1484447762#0,0,1,12924.06,350.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,132.94,132.94,0.0,0.0655
-291440669,12,1,59.32,50.0,1800.0,180.0,97.5,0.1,1.0,A,Thông thoáng hoàn toàn,4.27,4.27,0.0,0.0648
-608573091,11,1,67.99,50.0,1800.0,180.0,90.0,0.1,1.0,A,Thông thoáng hoàn toàn,4.89,4.89,0.0,0.0636
1265471307,10,1,6.33,50.0,1800.0,180.0,75.0,0.1,1.0,A,Thông thoáng hoàn toàn,0.46,0.46,0.0,0.0621
191937830#0,9,1,7.4,80.0,1800.0,180.0,90.0,0.1,1.0,A,Thông thoáng hoàn toàn,0.33,0.33,0.0,0.0609
218227252,12,2,636.78,60.0,3600.0,300.0,100.0,0.0833,1.0,A,Thông thoáng hoàn toàn,38.2,38.2,0.0,0.0593
404368564#1,27,2,46.97,60.0,3600.0,180.0,124.3,0.05,1.0,A,Thông thoáng hoàn toàn,2.82,2.82,0.0,0.0578
404368564#2,26,2,0.2,60.0,3600.0,180.0,130.0,0.05,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0563
211840922#1,35,5,8.51,60.0,9000.0,240.0,140.0,0.0267,1.0,A,Thông thoáng hoàn toàn,0.51,0.51,0.0,0.0555
566567150,17,2,80.51,80.0,3600.0,240.0,135.0,0.0667,1.0,A,Thông thoáng hoàn toàn,3.62,3.62,0.0,0.0542
-32577544#4,17,1,10.37,50.0,1800.0,120.0,85.0,0.0667,1.0,A,Thông thoáng hoàn toàn,0.75,0.75,0.0,0.0539
211835011,16,1,99.05,50.0,1800.0,120.0,85.0,0.0667,1.0,A,Thông thoáng hoàn toàn,7.13,7.13,0.0,0.0531
404368564#0,22,2,35.82,60.0,3600.0,180.0,94.3,0.05,1.0,A,Thông thoáng hoàn toàn,2.15,2.15,0.0,0.0517
-32577544#5,14,1,201.33,50.0,1800.0,120.0,81.8,0.0667,1.0,A,Thông thoáng hoàn toàn,14.49,14.49,0.0,0.0512
608573091,12,1,67.99,50.0,1800.0,120.0,86.7,0.0667,1.0,A,Thông thoáng hoàn toàn,4.89,4.89,0.0,0.0481
291440678,11,1,31.12,50.0,1800.0,120.0,90.0,0.0667,1.0,A,Thông thoáng hoàn toàn,2.24,2.24,0.0,0.0467
1419189311,10,1,104.88,100.0,1800.0,120.0,80.0,0.0667,1.0,A,Thông thoáng hoàn toàn,3.78,3.78,0.0,0.0459
-291440678,10,1,31.12,50.0,1800.0,120.0,66.7,0.0667,1.0,A,Thông thoáng hoàn toàn,2.24,2.24,0.0,0.0455
-291440679,9,1,31.41,50.0,1800.0,120.0,75.0,0.0667,1.0,A,Thông thoáng hoàn toàn,2.26,2.26,0.0,0.0443
291440679,9,1,31.41,50.0,1800.0,120.0,77.1,0.0667,1.0,A,Thông thoáng hoàn toàn,2.26,2.26,0.0,0.0443
-1215971650,8,1,60.99,50.0,1800.0,120.0,68.6,0.0667,1.0,A,Thông thoáng hoàn toàn,4.39,4.39,0.0,0.0433
1215971650,6,1,61.61,50.0,1800.0,120.0,72.0,0.0667,1.0,A,Thông thoáng hoàn toàn,4.44,4.44,0.0,0.0409
-1419189311,5,1,104.88,100.0,1800.0,120.0,75.0,0.0667,1.0,A,Thông thoáng hoàn toàn,3.78,3.78,0.0,0.0399
1385625111#1,5,1,16.98,80.0,1800.0,120.0,100.0,0.0667,1.0,A,Thông thoáng hoàn toàn,0.76,0.76,0.0,0.0394
291440682,3,1,31.45,50.0,1800.0,120.0,90.0,0.0667,1.0,A,Thông thoáng hoàn toàn,2.26,2.26,0.0,0.0371
566594770,12,3,141.31,60.0,5400.0,180.0,90.0,0.0333,1.0,A,Thông thoáng hoàn toàn,8.48,8.48,0.0,0.0318
-291440682,9,1,31.45,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,2.26,2.26,0.0,0.0277
-1419189306#0,6,1,66.88,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,4.81,4.81,0.0,0.0242
1419189306#0,6,1,66.88,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,4.81,4.81,0.0,0.0242
720360983#0,6,2,35.7,60.0,3600.0,120.0,72.0,0.0333,1.0,A,Thông thoáng hoàn toàn,2.14,2.14,0.0,0.0241
-608573092,5,1,58.77,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,4.23,4.23,0.0,0.023
608573092,5,1,58.77,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,4.23,4.23,0.0,0.023
191937830#1,5,1,1.81,80.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,0.08,0.08,0.0,0.0227
1215970783,4,1,11.42,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,0.82,0.82,0.0,0.0215
-1215966886,3,1,15.55,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,1.12,1.12,0.0,0.0204
1215966886,3,1,15.55,50.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,1.12,1.12,0.0,0.0204
722357076#1,3,1,5.28,80.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,0.24,0.24,0.0,0.0203
722357076#0,2,1,3.09,80.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,0.14,0.14,0.0,0.0191
722555105#0,1,1,2.58,80.0,1800.0,60.0,60.0,0.0333,1.0,A,Thông thoáng hoàn toàn,0.12,0.12,0.0,0.0179
1435980095,6,2,0.2,60.0,3600.0,60.0,60.0,0.0167,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0156
720360983#1,4,2,46.3,60.0,3600.0,60.0,60.0,0.0167,1.0,A,Thông thoáng hoàn toàn,2.78,2.78,0.0,0.0134
720360983#2,4,2,0.2,60.0,3600.0,60.0,60.0,0.0167,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0132
211835010,0,2,639.0,60.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,38.33,38.33,0.0,0.0032
-952305609#0,0,1,179.89,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,32.35,32.35,0.0,0.0009
952305609#0,0,1,179.77,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,32.33,32.33,0.0,0.0009
-695757489,0,1,129.21,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,23.24,23.24,0.0,0.0007
695757489,0,1,129.21,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,23.24,23.24,0.0,0.0007
-610137730,0,1,115.5,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,20.77,20.77,0.0,0.0006
-610137732,0,1,114.77,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,20.64,20.64,0.0,0.0006
610137730,0,1,111.04,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,19.97,19.97,0.0,0.0006
610137732,0,1,115.69,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,20.81,20.81,0.0,0.0006
-256497912#2,0,1,89.09,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,16.02,16.02,0.0,0.0005
-287855430,0,1,89.46,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,16.09,16.09,0.0,0.0005
-306704225,0,1,95.06,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,17.1,17.1,0.0,0.0005
-503192599,0,1,94.67,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,17.03,17.03,0.0,0.0005
256497912#2,0,1,89.09,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,16.02,16.02,0.0,0.0005
287855430,0,1,90.84,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,16.34,16.34,0.0,0.0005
306704225,0,1,95.4,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,17.16,17.16,0.0,0.0005
503192599,0,1,94.67,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,17.03,17.03,0.0,0.0005
-224492699#1,0,1,76.95,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,13.84,13.84,0.0,0.0004
-306704226#1,0,1,86.06,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,15.48,15.48,0.0,0.0004
