edge_id,freq,lanes,length_m,speed_kmh,capacity,peak_flow,avg_flow,vc_ratio,bpr_factor,los_grade,los_desc,travel_free,travel_actual,delay_s,risk_score
723249851,0,1,22.53,20.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,4.05,4.05,0.0,0.0001
-1270828725,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
-1489694985,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
-32577544#1,0,1,0.2,50.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
-32577544#3,0,1,0.2,50.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
-606920724#4,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
1104943514#0,0,1,8.74,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,3.14,3.14,0.0,0.0
1104943514#1,0,1,0.36,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.13,0.13,0.0,0.0
1106838009#0,0,1,0.17,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.06,0.06,0.0,0.0
1106838010#0,0,1,0.2,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.07,0.07,0.0,0.0
1106838010#2,0,1,2.86,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,1.03,1.03,0.0,0.0
1106838011,0,1,1.95,10.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.7,0.7,0.0,0.0
1215970290#1,0,2,0.2,100.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
1269264064#0,0,2,0.2,100.0,3600.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
1270139985,0,5,4.64,60.0,9000.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.28,0.28,0.0,0.0
1270828725,0,1,0.2,80.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.0
